"SampleYear","Era","Site","BenthicReefSpecies","DiveReplicate","DepthZone","Density_m2"
2015,"Pre-Construction","Rocky Point South","Pisaster giganteus","1","Middle",0
2015,"Pre-Construction","Rocky Point South","Pisaster giganteus","1","Outer",0
2015,"Pre-Construction","Rocky Point South","Pisaster giganteus","1","Deep",0
2015,"Pre-Construction","Rocky Point South","Pisaster giganteus","2","Inner",0
2015,"Pre-Construction","Rocky Point South","Pisaster giganteus","2","Middle",0
2015,"Pre-Construction","Rocky Point South","Pisaster giganteus","2","Outer",0
2015,"Pre-Construction","Rocky Point South","Pisaster giganteus","2","Deep",0
2015,"Pre-Construction","Rocky Point South","Pisaster ochraceus","1","Inner",0
2015,"Pre-Construction","Rocky Point South","Pisaster ochraceus","1","Middle",0
2015,"Pre-Construction","Rocky Point South","Pisaster ochraceus","1","Outer",0
2015,"Pre-Construction","Rocky Point South","Pisaster ochraceus","1","Deep",0
2015,"Pre-Construction","Rocky Point South","Pisaster ochraceus","2","Inner",0
2015,"Pre-Construction","Rocky Point South","Pisaster ochraceus","2","Middle",0
2015,"Pre-Construction","Rocky Point South","Pisaster ochraceus","2","Outer",0
2015,"Pre-Construction","Rocky Point South","Pisaster ochraceus","2","Deep",0
2015,"Pre-Construction","Rocky Point South","Strongylocentrotus purpuratus","1","Inner",0
2015,"Pre-Construction","Rocky Point South","Strongylocentrotus purpuratus","1","Middle",0.15
2015,"Pre-Construction","Rocky Point South","Strongylocentrotus purpuratus","1","Outer",0.0833333333333333
2015,"Pre-Construction","Rocky Point South","Strongylocentrotus purpuratus","1","Deep",0
2015,"Pre-Construction","Rocky Point South","Strongylocentrotus purpuratus","2","Inner",0
2015,"Pre-Construction","Rocky Point South","Strongylocentrotus purpuratus","2","Middle",0.0666666666666667
2015,"Pre-Construction","Rocky Point South","Strongylocentrotus purpuratus","2","Outer",0.05
2015,"Pre-Construction","Rocky Point South","Strongylocentrotus purpuratus","2","Deep",0
2015,"Pre-Construction","Lunada Bay","Apostichopus californicus","1","Inner",0
2015,"Pre-Construction","Lunada Bay","Apostichopus californicus","1","Middle",0
2015,"Pre-Construction","Lunada Bay","Apostichopus californicus","1","Outer",0
2015,"Pre-Construction","Lunada Bay","Apostichopus californicus","1","Deep",0
2015,"Pre-Construction","Lunada Bay","Apostichopus californicus","2","Inner",0
2015,"Pre-Construction","Lunada Bay","Apostichopus californicus","2","Middle",0
2015,"Pre-Construction","Lunada Bay","Apostichopus californicus","2","Outer",0
2015,"Pre-Construction","Lunada Bay","Apostichopus californicus","2","Deep",0
2015,"Pre-Construction","Lunada Bay","Apostichopus parvimensis","1","Inner",0
2015,"Pre-Construction","Lunada Bay","Apostichopus parvimensis","1","Middle",0
2015,"Pre-Construction","Lunada Bay","Apostichopus parvimensis","1","Outer",0
2015,"Pre-Construction","Lunada Bay","Apostichopus parvimensis","1","Deep",0
2015,"Pre-Construction","Lunada Bay","Apostichopus parvimensis","2","Inner",0
2015,"Pre-Construction","Lunada Bay","Apostichopus parvimensis","2","Middle",0
2015,"Pre-Construction","Lunada Bay","Apostichopus parvimensis","2","Outer",0
2015,"Pre-Construction","Lunada Bay","Apostichopus parvimensis","2","Deep",0
2015,"Pre-Construction","Lunada Bay","Mesocentrotus franciscanus","1","Inner",0
2015,"Pre-Construction","Lunada Bay","Mesocentrotus franciscanus","1","Middle",0.0666666666666667
2015,"Pre-Construction","Lunada Bay","Mesocentrotus franciscanus","1","Outer",0.0166666666666667
2015,"Pre-Construction","Lunada Bay","Mesocentrotus franciscanus","1","Deep",0.0833333333333333
2015,"Pre-Construction","Lunada Bay","Mesocentrotus franciscanus","2","Inner",0.0166666666666667
2015,"Pre-Construction","Lunada Bay","Mesocentrotus franciscanus","2","Middle",0.683333333333333
2015,"Pre-Construction","Lunada Bay","Mesocentrotus franciscanus","2","Outer",0.0666666666666667
2015,"Pre-Construction","Lunada Bay","Mesocentrotus franciscanus","2","Deep",0.1
2015,"Pre-Construction","Lunada Bay","Patiria miniata","1","Inner",0
2015,"Pre-Construction","Lunada Bay","Patiria miniata","1","Middle",0
2015,"Pre-Construction","Lunada Bay","Patiria miniata","1","Outer",0.0166666666666667
2015,"Pre-Construction","Lunada Bay","Patiria miniata","1","Deep",0
2015,"Pre-Construction","Lunada Bay","Patiria miniata","2","Inner",0
2015,"Pre-Construction","Lunada Bay","Patiria miniata","2","Middle",0
2015,"Pre-Construction","Lunada Bay","Patiria miniata","2","Outer",0
2015,"Pre-Construction","Lunada Bay","Patiria miniata","2","Deep",0.0333333333333333
2015,"Pre-Construction","Lunada Bay","Pisaster giganteus","1","Inner",0
2015,"Pre-Construction","Lunada Bay","Pisaster giganteus","1","Middle",0
2015,"Pre-Construction","Lunada Bay","Pisaster giganteus","1","Outer",0
2015,"Pre-Construction","Lunada Bay","Pisaster giganteus","1","Deep",0
2015,"Pre-Construction","Lunada Bay","Pisaster giganteus","2","Inner",0
2015,"Pre-Construction","Lunada Bay","Pisaster giganteus","2","Middle",0
2015,"Pre-Construction","Lunada Bay","Pisaster giganteus","2","Outer",0
2015,"Pre-Construction","Lunada Bay","Pisaster giganteus","2","Deep",0
2015,"Pre-Construction","Lunada Bay","Pisaster ochraceus","1","Inner",0
2015,"Pre-Construction","Lunada Bay","Pisaster ochraceus","1","Middle",0
2015,"Pre-Construction","Lunada Bay","Pisaster ochraceus","1","Outer",0
2015,"Pre-Construction","Lunada Bay","Pisaster ochraceus","1","Deep",0
2015,"Pre-Construction","Lunada Bay","Pisaster ochraceus","2","Inner",0
2015,"Pre-Construction","Lunada Bay","Pisaster ochraceus","2","Middle",0
2015,"Pre-Construction","Lunada Bay","Pisaster ochraceus","2","Outer",0
2015,"Pre-Construction","Lunada Bay","Pisaster ochraceus","2","Deep",0
2015,"Pre-Construction","Lunada Bay","Strongylocentrotus purpuratus","1","Inner",0
2015,"Pre-Construction","Lunada Bay","Strongylocentrotus purpuratus","1","Middle",0.2
2015,"Pre-Construction","Lunada Bay","Strongylocentrotus purpuratus","1","Outer",0.0166666666666667
2015,"Pre-Construction","Lunada Bay","Strongylocentrotus purpuratus","1","Deep",0
2015,"Pre-Construction","Lunada Bay","Strongylocentrotus purpuratus","2","Inner",0.0166666666666667
2015,"Pre-Construction","Lunada Bay","Strongylocentrotus purpuratus","2","Middle",0.7
2015,"Pre-Construction","Lunada Bay","Strongylocentrotus purpuratus","2","Outer",0.183333333333333
2015,"Pre-Construction","Lunada Bay","Strongylocentrotus purpuratus","2","Deep",0
2015,"Pre-Construction","Resort Point","Apostichopus californicus","1","Inner",0
2015,"Pre-Construction","Resort Point","Apostichopus californicus","1","Middle",0
2015,"Pre-Construction","Resort Point","Apostichopus californicus","1","Outer",0
2015,"Pre-Construction","Resort Point","Apostichopus californicus","1","Deep",0
2015,"Pre-Construction","Resort Point","Apostichopus californicus","2","Inner",0
2015,"Pre-Construction","Resort Point","Apostichopus californicus","2","Middle",0
2015,"Pre-Construction","Resort Point","Apostichopus californicus","2","Outer",0
2015,"Pre-Construction","Resort Point","Apostichopus californicus","2","Deep",0
2015,"Pre-Construction","Resort Point","Apostichopus parvimensis","1","Inner",0
2015,"Pre-Construction","Resort Point","Apostichopus parvimensis","1","Middle",0
2015,"Pre-Construction","Resort Point","Apostichopus parvimensis","1","Outer",0
2015,"Pre-Construction","Resort Point","Apostichopus parvimensis","1","Deep",0
2015,"Pre-Construction","Resort Point","Apostichopus parvimensis","2","Inner",0
2015,"Pre-Construction","Resort Point","Apostichopus parvimensis","2","Middle",0
2015,"Pre-Construction","Resort Point","Apostichopus parvimensis","2","Outer",0
2015,"Pre-Construction","Resort Point","Apostichopus parvimensis","2","Deep",0
2015,"Pre-Construction","Resort Point","Mesocentrotus franciscanus","1","Inner",0
2015,"Pre-Construction","Resort Point","Mesocentrotus franciscanus","1","Middle",0.416666666666667
2015,"Pre-Construction","Resort Point","Mesocentrotus franciscanus","1","Outer",0.116666666666667
2015,"Pre-Construction","Resort Point","Mesocentrotus franciscanus","1","Deep",0
2015,"Pre-Construction","Resort Point","Mesocentrotus franciscanus","2","Inner",0
2015,"Pre-Construction","Resort Point","Mesocentrotus franciscanus","2","Middle",0.716666666666667
2015,"Pre-Construction","Resort Point","Mesocentrotus franciscanus","2","Outer",0.483333333333333
2015,"Pre-Construction","Resort Point","Mesocentrotus franciscanus","2","Deep",0.0166666666666667
2015,"Pre-Construction","Resort Point","Patiria miniata","1","Inner",0
2015,"Pre-Construction","Resort Point","Patiria miniata","1","Middle",0
2015,"Pre-Construction","Resort Point","Patiria miniata","1","Outer",0.05
2015,"Pre-Construction","Resort Point","Patiria miniata","1","Deep",0.0333333333333333
2015,"Pre-Construction","Resort Point","Patiria miniata","2","Inner",0
2015,"Pre-Construction","Resort Point","Patiria miniata","2","Middle",0
2015,"Pre-Construction","Resort Point","Patiria miniata","2","Outer",0
2015,"Pre-Construction","Resort Point","Patiria miniata","2","Deep",0.0166666666666667
2015,"Pre-Construction","Resort Point","Pisaster giganteus","1","Inner",0
2015,"Pre-Construction","Resort Point","Pisaster giganteus","1","Middle",0
2015,"Pre-Construction","Resort Point","Pisaster giganteus","1","Outer",0
2015,"Pre-Construction","Resort Point","Pisaster giganteus","1","Deep",0.0333333333333333
2015,"Pre-Construction","Resort Point","Pisaster giganteus","2","Inner",0
2015,"Pre-Construction","Resort Point","Pisaster giganteus","2","Middle",0
2015,"Pre-Construction","Resort Point","Pisaster giganteus","2","Outer",0
2015,"Pre-Construction","Resort Point","Pisaster giganteus","2","Deep",0
2015,"Pre-Construction","Resort Point","Pisaster ochraceus","1","Inner",0
2015,"Pre-Construction","Resort Point","Pisaster ochraceus","1","Middle",0
2015,"Pre-Construction","Resort Point","Pisaster ochraceus","1","Outer",0
2015,"Pre-Construction","Resort Point","Pisaster ochraceus","1","Deep",0
2015,"Pre-Construction","Resort Point","Pisaster ochraceus","2","Inner",0
2015,"Pre-Construction","Resort Point","Pisaster ochraceus","2","Middle",0
2015,"Pre-Construction","Resort Point","Pisaster ochraceus","2","Outer",0
2015,"Pre-Construction","Resort Point","Pisaster ochraceus","2","Deep",0
2015,"Pre-Construction","Resort Point","Strongylocentrotus purpuratus","1","Inner",0.15
2015,"Pre-Construction","Resort Point","Strongylocentrotus purpuratus","1","Middle",0.783333333333333
2015,"Pre-Construction","Resort Point","Strongylocentrotus purpuratus","1","Outer",0.05
2015,"Pre-Construction","Resort Point","Strongylocentrotus purpuratus","1","Deep",0.0666666666666667
2015,"Pre-Construction","Resort Point","Strongylocentrotus purpuratus","2","Inner",0.583333333333333
2015,"Pre-Construction","Resort Point","Strongylocentrotus purpuratus","2","Middle",1.71666666666667
2015,"Pre-Construction","Resort Point","Strongylocentrotus purpuratus","2","Outer",0.316666666666667
2015,"Pre-Construction","Resort Point","Strongylocentrotus purpuratus","2","Deep",0.05
2015,"Pre-Construction","Honeymoon Cove","Apostichopus californicus","1","Inner",0
2015,"Pre-Construction","Honeymoon Cove","Apostichopus californicus","1","Middle",0
2015,"Pre-Construction","Honeymoon Cove","Apostichopus californicus","1","Outer",0
2015,"Pre-Construction","Honeymoon Cove","Apostichopus californicus","1","Deep",0
2015,"Pre-Construction","Honeymoon Cove","Apostichopus californicus","2","Inner",0
2015,"Pre-Construction","Honeymoon Cove","Apostichopus californicus","2","Middle",0
2015,"Pre-Construction","Honeymoon Cove","Apostichopus californicus","2","Outer",0
2015,"Pre-Construction","Honeymoon Cove","Apostichopus californicus","2","Deep",0
2015,"Pre-Construction","Honeymoon Cove","Apostichopus parvimensis","1","Inner",0
2015,"Pre-Construction","Honeymoon Cove","Apostichopus parvimensis","1","Middle",0
2015,"Pre-Construction","Honeymoon Cove","Apostichopus parvimensis","1","Outer",0.0166666666666667
2015,"Pre-Construction","Honeymoon Cove","Apostichopus parvimensis","1","Deep",0.0333333333333333
2015,"Pre-Construction","Honeymoon Cove","Apostichopus parvimensis","2","Inner",0
2015,"Pre-Construction","Honeymoon Cove","Apostichopus parvimensis","2","Middle",0.0166666666666667
2015,"Pre-Construction","Honeymoon Cove","Apostichopus parvimensis","2","Outer",0
2015,"Pre-Construction","Honeymoon Cove","Apostichopus parvimensis","2","Deep",0
2015,"Pre-Construction","Honeymoon Cove","Mesocentrotus franciscanus","1","Inner",0.1
2015,"Pre-Construction","Honeymoon Cove","Mesocentrotus franciscanus","1","Middle",0.283333333333333
2015,"Pre-Construction","Honeymoon Cove","Mesocentrotus franciscanus","1","Outer",0.383333333333333
2015,"Pre-Construction","Honeymoon Cove","Mesocentrotus franciscanus","1","Deep",0.0833333333333333
2015,"Pre-Construction","Honeymoon Cove","Mesocentrotus franciscanus","2","Inner",0.05
2015,"Pre-Construction","Honeymoon Cove","Mesocentrotus franciscanus","2","Middle",0.166666666666667
2015,"Pre-Construction","Honeymoon Cove","Mesocentrotus franciscanus","2","Outer",0.0166666666666667
2015,"Pre-Construction","Honeymoon Cove","Mesocentrotus franciscanus","2","Deep",0.0666666666666667
2015,"Pre-Construction","Honeymoon Cove","Patiria miniata","1","Inner",0
2015,"Pre-Construction","Honeymoon Cove","Patiria miniata","1","Middle",0
2015,"Pre-Construction","Honeymoon Cove","Patiria miniata","1","Outer",0.0166666666666667
2015,"Pre-Construction","Honeymoon Cove","Patiria miniata","1","Deep",0.116666666666667
2015,"Pre-Construction","Honeymoon Cove","Patiria miniata","2","Inner",0
2015,"Pre-Construction","Honeymoon Cove","Patiria miniata","2","Middle",0
2015,"Pre-Construction","Honeymoon Cove","Patiria miniata","2","Outer",0.0166666666666667
2015,"Pre-Construction","Honeymoon Cove","Patiria miniata","2","Deep",0.1
2015,"Pre-Construction","Honeymoon Cove","Pisaster giganteus","1","Inner",0
2015,"Pre-Construction","Honeymoon Cove","Pisaster giganteus","1","Middle",0
2015,"Pre-Construction","Honeymoon Cove","Pisaster giganteus","1","Outer",0
2015,"Pre-Construction","Honeymoon Cove","Pisaster giganteus","1","Deep",0
2015,"Pre-Construction","Honeymoon Cove","Pisaster giganteus","2","Inner",0
2015,"Pre-Construction","Honeymoon Cove","Pisaster giganteus","2","Middle",0
2015,"Pre-Construction","Honeymoon Cove","Pisaster giganteus","2","Outer",0
2015,"Pre-Construction","Honeymoon Cove","Pisaster giganteus","2","Deep",0
2015,"Pre-Construction","Honeymoon Cove","Pisaster ochraceus","1","Inner",0
2015,"Pre-Construction","Honeymoon Cove","Pisaster ochraceus","1","Middle",0
2015,"Pre-Construction","Honeymoon Cove","Pisaster ochraceus","1","Outer",0
2015,"Pre-Construction","Honeymoon Cove","Pisaster ochraceus","1","Deep",0
2015,"Pre-Construction","Honeymoon Cove","Pisaster ochraceus","2","Inner",0
2015,"Pre-Construction","Honeymoon Cove","Pisaster ochraceus","2","Middle",0
2015,"Pre-Construction","Honeymoon Cove","Pisaster ochraceus","2","Outer",0
2015,"Pre-Construction","Honeymoon Cove","Pisaster ochraceus","2","Deep",0
2015,"Pre-Construction","Honeymoon Cove","Strongylocentrotus purpuratus","1","Inner",0.0833333333333333
2015,"Pre-Construction","Honeymoon Cove","Strongylocentrotus purpuratus","1","Middle",0.116666666666667
2015,"Pre-Construction","Honeymoon Cove","Strongylocentrotus purpuratus","1","Outer",0.516666666666667
2015,"Pre-Construction","Honeymoon Cove","Strongylocentrotus purpuratus","1","Deep",0
2015,"Pre-Construction","Honeymoon Cove","Strongylocentrotus purpuratus","2","Inner",0.1
2015,"Pre-Construction","Honeymoon Cove","Strongylocentrotus purpuratus","2","Middle",0.05
2015,"Pre-Construction","Honeymoon Cove","Strongylocentrotus purpuratus","2","Outer",0.333333333333333
2015,"Pre-Construction","Honeymoon Cove","Strongylocentrotus purpuratus","2","Deep",0
2015,"Pre-Construction","Marguerite Central","Apostichopus californicus","1","Inner",0
2015,"Pre-Construction","Marguerite Central","Apostichopus californicus","1","Middle",0
2015,"Pre-Construction","Marguerite Central","Apostichopus californicus","2","Inner",0
2015,"Pre-Construction","Marguerite Central","Apostichopus californicus","2","Middle",0
2015,"Pre-Construction","Marguerite Central","Apostichopus parvimensis","1","Inner",0
2015,"Pre-Construction","Marguerite Central","Apostichopus parvimensis","1","Middle",0
2015,"Pre-Construction","Marguerite Central","Apostichopus parvimensis","2","Inner",0
